iter	Passed	Remaining
578	2124	1544
579	2127	1540
580	2131	1537
581	2135	1534
582	2139	1530
583	2143	1526
584	2146	1522
585	2150	1519
586	2153	1515
587	2156	1511
588	2160	1507
589	2163	1503
590	2167	1500
591	2172	1496
592	2176	1493
593	2179	1489
594	2182	1485
595	2186	1482
596	2190	1478
597	2194	1475
598	2199	1472
599	2202	1468
600	2206	1464
601	2209	1461
602	2213	1457
603	2217	1453
604	2220	1449
605	2224	1446
606	2228	1442
607	2232	1439
608	2236	1435
609	2240	1432
610	2244	1428
611	2247	1425
612	2251	1421
613	2255	1417
614	2258	1414
615	2262	1410
616	2266	1407
617	2270	1403
618	2273	1399
619	2277	1395
620	2280	1391
621	2284	1388
622	2288	1384
623	2291	1380
624	2295	1377
625	2299	1373
626	2303	1370
627	2306	1366
628	2310	1362
629	2314	1359
630	2318	1355
631	2321	1351
632	2325	1348
633	2330	1345
634	2334	1341
635	2337	1338
636	2341	1334
637	2344	1330
638	2348	1326
639	2352	1323
640	2355	1319
641	2359	1315
642	2364	1312
643	2368	1309
644	2372	1305
645	2376	1302
646	2381	1299
647	2384	1295
648	2387	1291
649	2391	1287
650	2395	1284
651	2399	1280
652	2403	1277
653	2407	1273
654	2411	1270
655	2415	1266
656	2418	1262
657	2422	1259
658	2426	1255
659	2430	1251
660	2433	1248
661	2437	1244
662	2441	1240
663	2444	1237
664	2447	1233
665	2451	1229
666	2455	1225
667	2459	1222
668	2462	1218
669	2467	1215
670	2470	1211
671	2474	1207
672	2477	1203
673	2480	1199
674	2484	1196
675	2487	1192
676	2491	1188
677	2495	1185
678	2498	1181
679	2502	1177
680	2505	1173
681	2509	1169
682	2512	1166
683	2515	1162
684	2519	1158
685	2523	1154
686	2526	1151
687	2530	1147
688	2534	1143
689	2537	1140
690	2540	1136
691	2544	1132
692	2547	1128
693	2551	1124
694	2555	1121
695	2558	1117
696	2562	1114
697	2566	1110
698	2570	1106
699	2573	1103
700	2577	1099
701	2580	1095
702	2584	1091
703	2587	1088
704	2591	1084
705	2595	1080
706	2598	1076
707	2602	1073
708	2606	1069
709	2609	1065
710	2613	1062
711	2617	1058
712	2621	1055
713	2624	1051
714	2628	1047
715	2632	1044
716	2636	1040
717	2639	1036
718	2643	1033
719	2647	1029
720	2651	1026
721	2655	1022
722	2659	1018
723	2662	1015
724	2666	1011
725	2670	1007
726	2673	1004
727	2677	1000
728	2681	996
729	2685	993
730	2689	989
731	2692	985
732	2697	982
733	2701	978
734	2705	975
735	2708	971
736	2712	967
737	2716	964
738	2719	960
739	2723	956
740	2727	953
741	2731	949
742	2735	946
743	2739	942
744	2743	938
745	2747	935
746	2751	931
747	2755	928
748	2759	924
749	2763	921
750	2768	917
751	2771	914
752	2775	910
753	2779	906
754	2783	903
755	2787	899
756	2791	895
757	2794	892
758	2798	888
759	2801	884
760	2805	881
761	2809	877
762	2813	873
763	2817	870
764	2821	866
765	2825	863
766	2829	859
767	2832	855
768	2836	852
769	2840	848
770	2843	844
771	2847	840
772	2851	837
773	2855	833
774	2859	830
775	2863	826
776	2866	822
777	2870	818
778	2873	815
779	2877	811
780	2881	807
781	2885	804
782	2889	800
783	2893	797
784	2896	793
785	2900	789
786	2904	786
787	2907	782
788	2912	778
789	2916	775
790	2920	771
791	2923	767
792	2927	764
793	2930	760
794	2934	756
795	2937	752
796	2941	749
797	2944	745
798	2948	741
799	2952	738
800	2956	734
801	2959	730
802	2963	726
803	2966	723
804	2970	719
805	2973	715
806	2977	712
807	2981	708
808	2984	704
809	2987	700
810	2991	697
811	2994	693
812	2998	689
813	3001	685
814	3005	682
815	3009	678
816	3013	674
817	3016	671
818	3020	667
819	3023	663
820	3027	660
821	3030	656
822	3033	652
823	3037	648
824	3041	645
825	3044	641
826	3048	637
827	3051	633
828	3055	630
829	3059	626
830	3063	622
831	3066	619
832	3069	615
833	3073	611
834	3076	608
835	3081	604
836	3085	600
837	3089	597
838	3093	593
839	3096	589
840	3099	586
841	3103	582
842	3107	578
843	3111	575
844	3114	571
845	3119	567
846	3122	564
847	3126	560
848	3130	556
849	3134	553
850	3138	549
851	3141	545
852	3146	542
853	3153	539
854	3161	536
855	3167	532
856	3174	529
857	3181	526
858	3188	523
859	3195	520
860	3203	517
861	3210	513
862	3217	510
863	3225	507
864	3232	504
865	3239	501
866	3246	498
867	3253	494
868	3259	491
869	3267	488
870	3274	484
871	3281	481
872	3288	478
873	3295	475
874	3302	471
875	3308	468
876	3315	465
877	3322	461
878	3328	458
879	3336	454
880	3343	451
881	3352	448
882	3358	445
883	3365	441
884	3372	438
885	3380	434
886	3386	431
887	3393	427
888	3399	424
889	3406	421
890	3413	417
891	3420	414
892	3428	410
893	3435	407
894	3441	403
895	3449	400
896	3456	396
897	3462	393
898	3469	389
899	3476	386
900	3484	382
901	3492	379
902	3500	376
903	3507	372
904	3514	368
905	3521	365
906	3528	361
907	3536	358
908	3543	354
909	3550	351
910	3557	347
911	3564	343
912	3570	340
913	3577	336
914	3584	333
915	3591	329
916	3598	325
917	3605	322
918	3612	318
919	3620	314
920	3627	311
921	3633	307
922	3641	303
923	3648	300
924	3654	296
925	3660	292
926	3667	288
927	3673	285
928	3680	281
929	3687	277
930	3693	273
931	3701	270
932	3708	266
933	3714	262
934	3721	258
935	3728	254
936	3735	251
937	3742	247
938	3748	243
939	3754	239
940	3760	235
941	3767	231
942	3774	228
943	3781	224
944	3788	220
945	3795	216
946	3802	212
947	3809	208
948	3816	205
949	3823	201
950	3829	197
951	3836	193
952	3843	189
953	3849	185
954	3856	181
955	3862	177
956	3868	173
957	3875	169
958	3883	166
959	3890	162
960	3896	158
961	3903	154
962	3910	150
963	3917	146
964	3924	142
965	3931	138
966	3939	134
967	3947	130
968	3954	126
969	3962	122
970	3970	118
971	3978	114
972	3985	110
973	3992	106
974	4000	102
975	4008	98
976	4016	94
977	4022	90
978	4030	86
979	4037	82
980	4043	78
981	4051	74
982	4057	70
983	4065	66
984	4071	62
985	4078	57
986	4084	53
987	4091	49
988	4098	45
989	4104	41
990	4112	37
991	4121	33
992	4129	29
993	4137	24
994	4146	20
995	4154	16
996	4162	12
997	4169	8
998	4178	4
999	4186	0
